patch_id,corner_id,corner_label,n_pixels,area_m2,mean_r_thw,mean_r_offset,dominant_lulc,dominant_lulc_label,dominant_lulc_percent
6207,16,Hot-amplifying,10,1000.0,0.8985912448788671,0.9392190393238492,Other vegetation,Other veg.,70.0
6208,16,Hot-amplifying,11,1100.0,0.899917270058565,0.8675152570904047,Other vegetation,Other veg.,63.63636363636363
6209,16,Hot-amplifying,36,3600.0,0.8712057736629497,0.9500973418497372,Other vegetation,Other veg.,47.22222222222222
6210,16,Hot-amplifying,11,1100.0,0.8804051157075446,0.8542498438366046,Other vegetation,Other veg.,36.36363636363637
6211,16,Hot-amplifying,11,1100.0,0.9368269064397972,0.9102638794799831,Other vegetation,Other veg.,45.45454545454545
6212,16,Hot-amplifying,40,4000.0,0.9359832736539889,0.9505904222716861,Other vegetation,Other veg.,47.5
6213,16,Hot-amplifying,13,1300.0,0.8880412271363591,0.9409843990004642,Other vegetation,Other veg.,23.076923076923077
6214,16,Hot-amplifying,9,900.0,0.9316288339050364,0.8713250606650393,Other vegetation,Other veg.,77.77777777777777
6215,16,Hot-amplifying,9,900.0,0.8864601367069188,0.9250293020204953,Other vegetation,Other veg.,77.77777777777777
6216,16,Hot-amplifying,14,1400.0,0.8996779619619067,0.8811104275253119,Other vegetation,Other veg.,57.142857142857146
6217,16,Hot-amplifying,233,23300.0,0.9214165609938684,0.9420137587160157,Other vegetation,Other veg.,49.78540772532189
6218,16,Hot-amplifying,9,900.0,0.8895157908319623,0.8808745801835901,Other vegetation,Other veg.,88.88888888888889
6219,16,Hot-amplifying,41,4100.0,0.9458330992581193,0.8917099607461768,Other vegetation,Other veg.,87.8048780487805
6220,16,Hot-amplifying,9,900.0,0.9550157890397899,0.8979638769709416,Other vegetation,Other veg.,44.44444444444444
6221,16,Hot-amplifying,18,1800.0,0.8968466366298554,0.8796183389428334,Other vegetation,Other veg.,83.33333333333333
6222,16,Hot-amplifying,35,3500.0,0.9346518735627415,0.8871398708714106,Other vegetation,Other veg.,71.42857142857143
6223,16,Hot-amplifying,12,1200.0,0.9302596589137284,0.8395099841930386,Other vegetation,Other veg.,100.0
6224,16,Hot-amplifying,28,2800.0,0.8944198084730843,0.9454652684648813,Trees 2–10 m,Trees 2–10 m,39.285714285714285
6225,16,Hot-amplifying,19,1900.0,0.8953920415089791,0.8465245398408436,Other vegetation,Other veg.,73.6842105263158
6226,16,Hot-amplifying,28,2800.0,0.8928535597922513,0.9669145087629556,Other vegetation,Other veg.,50.0
6227,16,Hot-amplifying,17,1700.0,0.926178567430069,0.9133945307533641,Trees >15 m,Trees >15 m,35.294117647058826
6228,16,Hot-amplifying,10,1000.0,0.9401497467660247,0.8975231781670375,Other vegetation,Other veg.,10.0
6229,16,Hot-amplifying,31,3100.0,0.8986095493194889,0.9337334919232566,Other vegetation,Other veg.,38.70967741935484
6230,16,Hot-amplifying,9,900.0,0.8963588431168031,0.8965920047600101,Other vegetation,Other veg.,33.333333333333336
6231,16,Hot-amplifying,44,4400.0,0.882177071694395,0.8965137731715686,Other vegetation,Other veg.,68.18181818181819
6232,16,Hot-amplifying,22,2200.0,0.9076218587696375,0.9061241564977169,Other vegetation,Other veg.,59.09090909090909
6233,16,Hot-amplifying,10,1000.0,0.8326651827478306,0.8483863027839608,Other vegetation,Other veg.,50.0
6234,16,Hot-amplifying,15,1500.0,0.8887951654354441,0.9379973762594495,Other vegetation,Other veg.,66.66666666666667
